route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
22,3,"22","","TARNOGAJ - Tarnogajska - Aleja Armii Krajowej - Bardzka - Hubska - Małachowskiego - Piłsudskiego - Legnicka - Lotnicza - PILCZYCE|PILCZYCE - Legnicka - Piłsudskiego - Małachowskiego - Hubska - Bardzka - Aleja Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2024-11-12","2999-01-01"
23,3,"23","","WROCŁAW NOWY DWÓR (P+R) - TAT - Piłsudskiego - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - pl. Bema - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - Kwidzyńska - KOWALE|KOWALE - Toruńska - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Piłsudskiego - TAT - WROCŁAW NOWY DWÓR (P+R)",0,31,"2024-11-12","2999-01-01"
78,3,"78","","TARNOGAJ - Tarnogajska - Aleja Armii Krajowej - Bardzka - Hubska - Gliniana - Borowska - Peronowa - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - pl. Bema - Bema - Poniatowskiego - Jedności Narodowej - Nowowiejska - Piastowska - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Piastowska - Nowowiejska - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Peronowa - Borowska - Gliniana - Hubska - Bardzka - Aleja Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2024-11-12","2999-01-01"
100,2,"100","","MOKRY DWÓR - Batorego - Starodworska - Księska - Opolska - Karwińska - Gazowa - Tarnogajska - Gazowa - Świeradowska - GAJ - PĘTLA|GAJ - PĘTLA - Morwowa - Gazowa - Opolska - Księska - Starodworska - Batorego - MOKRY DWÓR",3,30,"2024-09-01","2999-01-01"
101,2,"101","","LEŚNICA - Płońskiego - Trzmielowicka - Średzka - Jeleniogórska - Stabłowicka - Brodzka - Królewiecka - Pilczycka - Wejherowska - Legnicka - KWISKA|KWISKA - Pilczycka - Królewiecka - Brodzka - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA",3,30,"2024-09-14","2999-01-01"
102,2,"102","","KOSMONAUTÓW (PĘTLA) - Kosmonautów - Fieldorfa - Wojanowska - Jeleniogórska - Główna - Maślicka - Pilczycka - Gwarecka - Dokerska - Kozanowska - Legnicka - Zachodnia - Rybacka - Sokolnicza - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Legnicka - Zachodnia - Legnicka - Pilczycka - Dokerska - Pilczycka - Maślicka - Główna - Stabłowicka - Jeleniogórska - Wojanowska - Fieldorfa - Kosmonautów - KOSMONAUTÓW (PĘTLA)",3,30,"2024-10-05","2999-01-01"
103,2,"103","","PRACZE ODRZAŃSKIE - Brodzka - Stabłowicka - Główna - Maślicka - Pilczycka - Popowicka - Starogroblowa - Długa - Poznańska - Zachodnia - Rybacka - Sokolnicza - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Legnicka - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Pilczycka - Maślicka - Główna - Stabłowicka - Brodzka - PRACZE ODRZAŃSKIE",3,30,"2024-09-01","2999-01-01"
104,2,"104","","RĘDZIŃSKA - Rędzińska - Maślicka - Pilczycka - Gwarecka - Dokerska - Kozanowska - Legnicka - Popowicka - Milenijna - most Milenijny - Osobowicka - Lipska - Ślazowa - ŚLAZOWA|ŚLAZOWA - Lipska - Osobowicka - most Milenijny - Milenijna - Wejherowska - Legnicka - Pilczycka - Dokerska - Pilczycka - Maślicka - Rędzińska - RĘDZIŃSKA",3,30,"2024-11-16","2999-01-01"
105,2,"105","","ZAJĄCZKOWSKA - Zajączkowska - Pełczyńska - Obornicka - Broniewskiego - Kasprowicza - Berenta - Aleja Kromera - KROMERA|KROMERA - Boya-Żeleńskiego - Berenta - Kasprowicza - Broniewskiego - Obornicka - Pełczyńska - Zajączkowska - ZAJĄCZKOWSKA",3,30,"2024-10-12","2999-01-01"
106,2,"106","","PORT LOTNICZY - Graniczna - Skarżyńskiego - Graniczna - TAT - Podwale - Dworcowa - DWORZEC GŁÓWNY (DWORCOWA)|DWORZEC GŁÓWNY (DWORCOWA) - Podwale - TAT - Graniczna - Skarżyńskiego - Graniczna - PORT LOTNICZY",3,30,"2024-09-01","2999-01-01"
107,2,"107","","KRZYKI - Karkonoska - Letnia - Krzycka - Wałbrzyska - Karmelkowa - Giełdowa - Karmelkowa - Solskiego - Grabiszyńska - Ostrowskiego - Krzemieniecka - Stanisławowska - Mińska - TAT - Gubińska - Chociebuska - Rogowska - Żernicka - Jerzmanowska - 11 Listopada - Fieldorfa - Wojanowska - Jeleniogórska - Stabłowicka - Brodzka - PRACZE ODRZAŃSKIE|PRACZE ODRZAŃSKIE - Stabłowicka - Jeleniogórska - Wojanowska - Fieldorfa - 11 Listopada - Jerzmanowska - Żernicka - Rogowska - Gubińska - TAT - Mińska - Stanisławowska - Krzemieniecka - Ostrowskiego - Grabiszyńska - Solskiego - Karmelkowa - Giełdowa - Karmelkowa - Wałbrzyska - Krzycka - Karkonoska - KRZYKI",3,30,"2024-09-01","2999-01-01"
108,18,"108","","KMINKOWA - Kminkowa - Cynamonowa - Pełczyńska - Kominiarska - Zduńska - Księgarska - Sułowska - Żmigrodzka - Sułowska - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - DWORZEC NADODRZE|DWORZEC NADODRZE - Trzebnicka - Żmigrodzka - Sułowska - Żmigrodzka - Sułowska - Księgarska - Zduńska - Kominiarska - Pełczyńska - Cynamonowa - Kminkowa - KMINKOWA",3,30,"2024-11-16","2999-01-01"
110,2,"110","","VIVALDIEGO - Buforowa - Bardzka - Hubska - Sucha - Peronowa - Kołłątaja - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Piotra Skargi - Kołłątaja - Peronowa - Sucha - Hubska - Bardzka - Buforowa - VIVALDIEGO",3,30,"2024-11-16","2999-01-01"
111,2,"111","","OSIEDLE SOBIESKIEGO - Królewska - Bora-Komorowskiego - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - rondo Reagana - Skłodowskiej-Curie - Wyszyńskiego - Sienkiewicza - pl. Bema - Bema - Poniatowskiego - Jedności Narodowej - Rychtalska - Słonimskiego - Zakładowa - Broniewskiego - Obornicka - Pełczyńska - Cynamonowa - Kminkowa - KMINKOWA|KMINKOWA - Cynamonowa - Pełczyńska - Obornicka - Broniewskiego - Żmigrodzka - Zakładowa - Rychtalska - Jedności Narodowej - Poniatowskiego - Sienkiewicza - Wyszyńskiego - Szczytnicka - rondo Reagana - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Bora-Komorowskiego - Królewska - OSIEDLE SOBIESKIEGO",3,30,"2024-09-14","2999-01-01"
112,2,"112","","KRZYKI - Karkonoska - Waligórskiego - Wojszycka - Ołtaszyńska - Radosna - Chabrowa - Kutrzeby - Parafialna - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Parafialna - Kutrzeby - Chabrowa - Radosna - Ołtaszyńska - Wojszycka - Waligórskiego - Karkonoska - KRZYKI",3,30,"2024-11-17","2999-01-01"
113,2,"113","","KRZYKI - Zwycięska - Strachowskiego - Kurpiów - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Kurpiów - Strachowskiego - Zwycięska - Karkonoska - KRZYKI",3,30,"2024-09-01","2999-01-01"
114,2,"114","","GALERIA DOMINIKAŃSKA - Słowackiego - Podwale - Kościuszki - Krakowska - Karwińska - Gazowa - Tarnogajska - Gazowa - Bardzka - Buforowa - Konduktorska - Centralna - Chińska - Mościckiego - Ziemniaczana - BIEŃKOWICE|BIEŃKOWICE - Mościckiego - Chińska - Mościckiego - Krakowska - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA",3,30,"2024-11-16","2999-01-01"
115,2,"115","","STRUMYKOWA - Strachocińska - Swojczycka - Mickiewicza - Skłodowskiej-Curie - rondo Reagana - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - rondo Reagana - Skłodowskiej-Curie - Mickiewicza - Swojczycka - Strachocińska - STRUMYKOWA",3,30,"2024-09-14","2999-01-01"
116,2,"116 ","","SOŁTYSOWICE - Redycka - Sołtysowicka - Koszarowa - Kasprowicza - Boya-Żeleńskiego - Toruńska - Brücknera - Kochanowskiego - Norwida - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Toruńska - Boya-Żeleńskiego - Kasprowicza - Czajkowskiego - Sołtysowicka - Redycka - SOŁTYSOWICE",3,30,"2024-09-01","2999-01-01"
117,11,"117","","RATYŃ - Gromadzka - Szkolna - Miodowa - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Miodowa - Szkolna - Gromadzka - RATYŃ",3,30,"2024-11-09","2999-01-01"
118,2,"118","","SĘPOLNO - Mickiewicza - Swojczycka - Miłoszycka - Kowalska - Krzywoustego - Brücknera - Toruńska - Boya-Żeleńskiego - Berenta - Kasprowicza - Broniewskiego - Bałtycka - Jugosłowiańska - Łużycka - Osobowicka - Wędkarzy - RĘDZIN|RĘDZIN - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Kasprowicza - Berenta - Toruńska - Brücknera - Kowalska - Miłoszycka - Swojczycka - Mickiewicza - SĘPOLNO",3,30,"2024-11-16","2999-01-01"
119,2,"119","","RACŁAWICKA - Racławicka - Aleja Piastów - Solskiego - Grabiszyńska - Ostrowskiego - Krzemieniecka - Stanisławowska - Mińska - TAT - Muchoborska - Klecińska - Na Ostatnim Groszu - Legnicka - Popowicka - Milenijna - most Milenijny - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Kasprowicza - Czajkowskiego - Sołtysowicka - Redycka - SOŁTYSOWICE|SOŁTYSOWICE - Sołtysowicka - Koszarowa - Kasprowicza - Broniewskiego - Bałtycka - Jugosłowiańska - Łużycka - Osobowicka - most Milenijny - Milenijna - Wejherowska - Legnicka - Na Ostatnim Groszu - Estakada - TAT - Mińska - Stanisławowska - Krzemieniecka - Ostrowskiego - Grabiszyńska - Solskiego - Aleja Piastów - Racławicka - RACŁAWICKA",3,30,"2024-11-16","2999-01-01"
120,2,"120","","TRESTNO (PĘTLA) - Nadodrzańska - Opatowicka - Międzyrzecka - Na Niskich Łąkach - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Podwale - Kościuszki - Na Niskich Łąkach - Międzyrzecka - Opatowicka - Nadodrzańska - TRESTNO (PĘTLA)",3,30,"2024-09-01","2999-01-01"
121,2,"121","","ŻMUDZKA - Kiełczowska - Żmudzka - Litewska - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - rondo Reagana - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - rondo Reagana - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - ks. Mariana Stanety - Gorlicka - Litewska - Żmudzka - Kiełczowska - ŻMUDZKA",3,30,"2024-11-04","2999-01-01"
122,2,"122","","MUCHOBÓR WIELKI (ROŚLINNA) - Mińska - TAT - Gubińska - Chociebuska - Hermanowska - Koszalińska - Bystrzycka - Balonowa - Horbaczewskiego - Na Ostatnim Groszu - Legnicka - Zachodnia - Rybacka - Legnicka - Piłsudskiego - Zielińskiego - Swobodna - Sucha - DWORZEC AUTOBUSOWY|DWORZEC AUTOBUSOWY - Swobodna - Zielińskiego - Piłsudskiego - Legnicka - Zachodnia - Legnicka - Orlińskiego - Horbaczewskiego - Bystrzycka - Hermanowska - Gubińska - TAT - Mińska - MUCHOBÓR WIELKI (ROŚLINNA)",3,30,"2024-10-26","2999-01-01"
123,11,"123","","METALOWCÓW - Lotnicza - Górnicza - Pilczycka - Królewiecka - Maślicka - Główna - Marszowicka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Marszowicka - Główna - Maślicka - Królewiecka - Pilczycka - Hutnicza - Lotnicza - METALOWCÓW",3,30,"2024-11-09","2999-01-01"
